Movie Name,Movie Code,Open date,Movie Type,Nation,Genre,Directors,companys
007 스카이폴,20113461,20121026,장편,미국,액션,샘 멘데스,NA
007 스펙터,20157432,20151111,장편,영국,액션,샘 멘데스,NA
12 솔져스,20178395,20180131,장편,미국,액션,니콜라이 퓰시,NA
1987,20170590,20171227,장편,한국,드라마,장준환,20160263/(주)우정필름
1급기밀,20168161,20180124,장편,한국,드라마,홍기선,20126335/(주)미인픽쳐스
23 아이덴티티,20170241,20170222,장편,미국,스릴러,M. 나이트 샤말란,NA
26년,20088506,20121129,장편,한국,액션,조근현,20100202/영화사청어람(주)
300: 제국의 부활,20147247,20140306,장편,미국,액션,노암 머로,NA
47 미터,20177181,20170719,장편,영국,스릴러,조하네스 로버츠,NA
50가지 그림자: 해방,20180542,20180221,장편,미국,드라마,제임스 폴리,NA
7년의 밤,20154908,20180328,장편,한국,스릴러,추창민,20101558/(주)바른손
7번방의 선물,20127593,20130123,장편,한국,코미디,이환경,20100411/(주)화인웍스
R2B: 리턴투베이스,20124049,20120815,장편,한국,액션,김동원,20123069/(주)주머니필름
가디언즈,20126407,20121129,장편,미국,애니메이션,피터 램지,20103156/드림웍스 애니메이션
가디언즈 오브 갤럭시,20149317,20140731,장편,미국,액션,제임스 건,NA
가디언즈 오브 갤럭시 VOL. 2,20163603,20170503,장편,미국,액션,제임스 건,NA
가려진 시간,20154905,20161116,장편,한국,드라마,엄태화,20100558/(주)바른손이앤에이
가문의 영광5 - 가문의 귀환,20128687,20121219,장편,한국,코미디,정용기,20100947/(주)태원엔터테인먼트
간기남,20124032,20120411,장편,한국,코미디,김형준,20111231/(주)트로피엔터테인먼트
간신,20142402,20150521,장편,한국,사극,민규동,20100340/(주)수필름
간첩,20124400,20120920,장편,한국,드라마,우민호,20122736/(주)영화사울림
감기,20124937,20130814,장편,한국,드라마,김성수,20100453/아이러브시네마
감시자들,20122783,20130703,장편,한국,범죄,조의석,20100450/영화사 집
갓 오브 이집트,20159162,20160303,장편,미국,어드벤처,알렉스 프로야스,NA
강남 1970,20136888,20150121,장편,한국,액션,유하,20141216/(주)모베라픽처스
강철비,20170402,20171214,장편,한국,액션,양우석,20158288/(주)와이웍스엔터테인먼트
개구쟁이 스머프 2,20136761,20130801,장편,미국,애니메이션,라자 고스넬,NA
개를 훔치는 완벽한 방법,20130574,20141231,장편,한국,드라마,김성호,20100901/(주)삼거리픽쳐스
거울나라의 앨리스,20162968,20160907,장편,미국,어드벤처,제임스 보빈,NA
건축학개론,20124074,20120322,장편,한국,멜로/로맨스,이용주,20100545/(주)명필름
검사외전,20145507,20160203,장편,한국,범죄,이일형,20126515/(주)영화사 월광
검은 사제들,20145503,20151105,장편,한국,미스터리,장재현,20100450/영화사 집
게이트-완결판,20186926,20180621,장편,한국,범죄,신재호,20186982/삼삼공구 브라더스
겟 아웃,20175262,20170517,장편,미국,공포(호러),조던 필레,NA
겨울왕국,20136803,20140116,장편,미국,애니메이션,크리스 벅,NA
결혼전야,20136061,20131121,장편,한국,멜로/로맨스,홍지영,20100340/(주)수필름
경성학교: 사라진 소녀들,20141224,20150618,장편,한국,미스터리,이해영,20100187/청년필름(주)
계춘할망,20156559,20160519,장편,한국,가족,창,20100004/지오엔터테인먼트
고령화 가족,20120426,20130509,장편,한국,드라마,송해성,20122471/(주)인벤트스톤
"고산자, 대동여지도",20159648,20160907,장편,한국,사극,강우석,20100303/(주)시네마서비스
고스트버스터즈,20162404,20160825,장편,미국,액션,폴 페이그,NA
고질라,20147874,20140515,장편,미국,액션,가렛 에드워즈,NA
곡성,20140194,20160512,장편,한국,미스터리,나홍진,20169368/(주)사이드미러
곤지암,20180804,20180328,장편,한국,공포(호러),정범식,2016841/(주)하이브미디어코프
골든슬럼버,20168250,20180214,장편,한국,범죄,노동석,20100450/영화사 집
공각기동대 : 고스트 인 더 쉘,20163194,20170329,장편,미국,SF,루퍼트 샌더스,NA
공모자들,20124063,20120829,장편,한국,범죄,김홍선,20111361/(주)영화사채움
공범,20129606,20131024,장편,한국,스릴러,국동석,20063205/선샤인필름(주)
공조,20151228,20170118,장편,한국,액션,김성훈,20100278/(주)제이케이필름
관능의 법칙,20130561,20140213,장편,한국,드라마,권칠인,20100545/(주)명필름
관상,20126091,20130911,장편,한국,사극,한재림,20100128/(주)주피터필름
"광해, 왕이 된 남자",20124079,20120913,장편,한국,사극,추창민,20100540/리얼라이즈픽쳐스(주)
구스범스,20157158,20160114,장편,미국,액션,롭 레터맨,NA
국가대표 2,20150968,20160810,장편,한국,드라마,김종현,20100158/케이엠컬쳐㈜
국제시장,20137048,20141217,장편,한국,드라마,윤제균,20100278/(주)제이케이필름
군도: 민란의 시대,20123501,20140723,장편,한국,사극,윤종빈,20126515/(주)영화사 월광
군함도,20161481,20170726,장편,한국,액션,류승완,20100374/(주)외유내강
굿 다이노,20155422,20160107,장편,미국,애니메이션,피터 손,NA
굿바이 싱글,20150972,20160629,장편,한국,코미디,김태곤,20155529/호두앤유 엔터테인먼트(주)
궁합,20150969,20180228,장편,한국,코미디,홍창표,20100128/(주)주피터필름
귀향,20161364,20160224,장편,한국,드라마,조정래,20123223/주식회사 제이오엔터테인먼트코리아
그것,20179696,20170906,장편,미국,공포(호러),안드레스 무시에티,NA
그것만이 내 세상,20176104,20180117,장편,한국,코미디,최성현,20100278/(주)제이케이필름
"그날, 바다",20182352,20180412,장편,한국,다큐멘터리,김지영,20173981/프로젝트 부 
그날의 분위기,20068576,20160114,장편,한국,멜로/로맨스,조규장,20123837/영화사 문(주)
수상한 그녀,20131102,20140122,장편,한국,드라마,황동혁,20140512/(주)예인플러스엔터테인먼트
그놈이다,20157465,20151028,장편,한국,스릴러,윤준형,20040050/상상필름(주)
그래비티,20139221,20131017,장편,미국,SF,알폰소 쿠아론,NA
그랜드 부다페스트 호텔,20147727,20140320,장편,미국,미스터리,웨스 앤더슨,NA
그레이의 50가지 그림자,20147613,20150226,장편,미국,드라마,샘 테일러-존슨,NA
그레이트 월,20163580,20170215,장편,미국,판타지,장예모,NA
극비수사,20148855,20150618,장편,한국,드라마,곽경택,2013214/(주)제이콘컴퍼니
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,20164521,20160720,장편,일본,애니메이션,타카하시 시게하루,NA
극장판 요괴워치: 탄생의 비밀이다냥!,20150501,20150722,장편,일본,애니메이션,타카하시 시게하루,NA
극장판 포켓몬스터 너로 정했다!,20174965,20171221,장편,일본,애니메이션,유야마 쿠니히코,NA
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",20134592,20140109,장편,일본,애니메이션,유야마 쿠니히코,NA
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,20128247,20121219,장편,일본,애니메이션,유야마 쿠니히코,NA
극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,20135305,20180606,장편,일본,애니메이션,유야마 쿠니히코,NA
극적인 하룻밤,20157501,20151203,장편,한국,멜로/로맨스,하기호,20155311/(주)연우무대
기술자들,20149265,20141224,장편,한국,범죄,김홍선,20122965/(주)트리니티엔터테인먼트
