1987,"5,289,693"
007 스카이폴,"2,376,145"
007 스펙터,"1,820,760"
12 솔져스,"223,740"
1급기밀,"217,816"
23 아이덴티티,"1,675,798"
26년,"2,940,475"
300: 제국의 부활,"1,593,116"
47 미터,"590,036"
50가지 그림자: 해방,"217,785"
7년의 밤,"528,014"
7번방의 선물,"12,811,206"
R2B: 리턴투베이스,"1,201,944"
가디언즈,"1,056,250"
가디언즈 오브 갤럭시,"1,311,190"
가디언즈 오브 갤럭시 VOL. 2,"2,735,721"
가려진 시간,"510,878"
가문의 영광5 - 가문의 귀환,"1,012,223"
간기남,"1,246,185"
간신,"1,110,246"
간첩,"1,310,895"
감기,"3,119,023"
감시자들,"5,508,017"
갓 오브 이집트,"919,834"
강남 1970,"2,192,172"
강철비,"4,014,293"
개구쟁이 스머프 2,"921,788"
개를 훔치는 완벽한 방법,"263,227"
거울나라의 앨리스,"513,202"
건축학개론,"4,110,645"
검사외전,"9,707,158"
검은 사제들,"5,442,128"
게이트,"101,173"
겟 아웃,"2,138,146"
겨울왕국,"10,296,101"
결혼전야,"1,212,843"
경성학교: 사라진 소녀들,"356,342"
계춘할망,"482,259"
고령화 가족,"1,141,222"
"고산자, 대동여지도","974,262"
고스트버스터즈,"515,522"
고질라,"709,734"
곡성,"6,879,908"
곤지암,"2,675,618"
골든슬럼버,"1,387,562"
공각기동대 : 고스트 인 더 쉘,"764,072"
공모자들,"1,646,142"
공범,"1,766,285"
공조,"7,817,446"
관능의 법칙,"781,516"
관상,"9,134,586"
"광해, 왕이 된 남자","12,319,390"
구스범스,"297,356"
국가대표 2,"709,929"
국제시장,"8,911,437"
군도: 민란의 시대,"4,774,895"
군함도,"6,592,151"
굿 다이노,"1,328,394"
굿바이 싱글,"2,108,273"
궁합,"1,340,149"
귀향,"3,586,929"
그것,"888,836"
그것만이 내 세상,"3,417,677"
"그날, 바다","540,605"
그날의 분위기,"652,453"
그녀,"350,618"
그놈이다,"1,046,015"
그래비티,"3,194,698"
그랜드 부다페스트 호텔,"773,887"
그레이의 50가지 그림자,"364,415"
그레이트 월,"501,486"
극비수사,"2,860,786"
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,"330,665"
극장판 요괴워치: 탄생의 비밀이다냥!,"550,728"
극장판 포켓몬스터 너로 정했다!,"415,255"
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성","320,409"
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,"329,560"
극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,"182,550"
극적인 하룻밤,"320,884"
기술자들,"1,778,083"
기억의 밤,"1,386,611"
깡철이,"1,209,363"
꾼,"4,018,035"
끝까지 간다,"3,450,305"
나는 왕이로소이다,"790,181"
나를 기억해,"140,975"
나를 잊지 말아요,"425,799"
나를 찾아줘,"1,764,233"
나미야 잡화점의 기적,"191,880"
나우 유 씨 미 : 마술사기단,"2,718,227"
나우 유 씨 미 2,"3,100,113"
나의 PS 파트너,"1,786,831"
나의 독재자,"385,934"
나의 사랑 나의 신부,"2,141,155"
나의 소녀시대,"406,353"
"날, 보러와요","1,063,421"
남영동1985,"332,597"
남자가 사랑할 때,"1,979,311"
남자사용설명서,"507,890"
남쪽으로 튀어,"832,894"
남한산성,"3,849,087"
내 심장을 쏴라,"387,409"
내 아내의 모든 것,"4,598,583"
내가 살인범이다,"2,729,798"
내부자들,"7,055,332"
내부자들: 디 오리지널,"1,923,851"
너의 이름은.,"3,637,122"
너의 췌장을 먹고 싶어,"465,265"
널 기다리며,"635,235"
넛잡 2,"411,787"
